build	experimentName	subject	date	time	trialcode	blockcode	stimulusitem1	trial.presentation_left.percentcorrect	trial.presentation_right.percentcorrect	trial.presentation_left.response	trial.presentation_left.latency	trial.presentation_right.response	trial.presentation_right.latency	picture.Left.currentvalue	picture.Right.currentvalue	block_number	task_phase	LeftStimSelected	RightStimSelected	percentTrialsCorrectFeedback_left	percentTrialsCorrectFeedback_right	responseAndFeedbackCategory	isThisTrialPractice	isResponseCorrect	isFeedbackAccurate	trial_number	total_trialnum	numbercorrectfeedback	totalcorrect	numberoftimesleft	numberoftimesright	rightleftcorrect	consecutivecorrect	reversalnumber	totalearnings	centsearned
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	0	33	292	33	501	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	IRIF	0	-1	1	1	7	0		1	0	right	6	32	1.5	0
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	0	33	292	33	501	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	IRIF	0	-1	1	1	7	0		1	0	right	0	32	1.5	0
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	50	33	292	36	229	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	2	8	0		1	1	right	0	32	1.5	0
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	50	33	292	36	229	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	2	8	1		1	1	right	1	32	1.5	0.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	66	33	292	36	197	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	3	9	1		1	2	right	1	32	1.5	0.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	66	33	292	36	197	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	3	9	2		1	2	right	2	32	1.5	1
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	75	33	292	36	144	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	4	10	2		1	3	right	2	32	1.5	1
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	75	33	292	36	144	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	4	10	3		1	3	right	3	32	1.5	1.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	80	33	292	36	30	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	5	11	3		1	4	right	3	32	1.5	1.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	80	33	292	36	30	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	5	11	4		1	4	right	4	32	1.5	2
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	83	33	292	36	49	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRIF	0	1	-1	6	12	4		1	5	right	4	32	1.5	2
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	83	33	292	36	49	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRIF	0	1	-1	6	12	4		1	5	right	5	32	1.5	2
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	85	33	292	36	64	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	7	13	4		1	6	right	5	32	1.5	2
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	85	33	292	36	64	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	7	13	5		1	6	right	6	32	1.5	2.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	87	33	292	36	73	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	8	14	5		1	7	right	6	32	1.5	2.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	87	33	292	36	73	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	8	14	6		1	7	right	7	32	1.5	3
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	88	33	292	36	145	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	9	15	6		1	8	right	7	32	1.5	3
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	88	33	292	36	145	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	9	15	7		1	8	right	8	32	1.5	3.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	90	33	292	36	150	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	10	16	7		1	9	right	8	32	1.5	3.5
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	90	33	292	36	150	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRCF	0	1	1	10	16	8		1	9	right	9	32	1.5	4
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	presentation_right	Experiment_block_rightstart	umbrella.bmp	100	90	33	292	36	179	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRIF	0	1	-1	11	17	8		1	10	right	9	32	1.5	4
6.4.2	Reversal_Task	1	2021-09-22	09:33:14	fixation	Experiment_block_rightstart	+	100	90	33	292	36	179	39	25	1	Acquisiton	39	25	0.2000000000000000111	0.8000000000000000444	CRIF	0	1	-1	11	17	8		1	10	right	10	32	1.5	4
