"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","rightleftcorrect","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","numbercorrectfeedback_block","totalcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","489","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","0","6","0","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","489","33","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","0","6","0","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","266","36","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","2","2","0","0","6","0","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","266","36","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","2","2","0","0","6","0","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","345","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","3","3","0","0","6","0","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","345","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","3","3","0","0","7","1","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","357","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","4","4","0","0","7","1","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","357","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","4","4","0","0","8","2","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","354","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","5","5","0","0","8","2","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","354","36","36","8","1","Acquisiton","36","8","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","5","5","0","0","9","3","19","0","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","books.bmp","100","427","36","36","8","1","Acquisiton","36","8","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","6","6","0","0","9","3","19","0","0"
