"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","rightleftcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","1214","36","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","12","left","0","21","6","0"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","1214","36","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","12","left","0","21","6","0"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","658","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","2","2","0","12","left","0","21","6","0"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","658","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","2","2","1","12","left","1","21","6","0.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","469","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","3","1","12","left","1","21","6","0.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","469","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","3","2","12","left","2","21","6","1"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","348","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","4","4","2","12","left","2","21","6","1"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","348","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","4","4","3","12","left","3","21","6","1.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","385","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","5","5","3","12","left","3","21","6","1.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","385","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","5","5","3","12","left","4","21","6","1.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","357","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","6","6","3","12","left","4","21","6","1.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","357","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","6","6","4","12","left","5","21","6","2"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","389","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","7","7","4","12","left","5","21","6","2"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","389","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","7","7","5","12","left","6","21","6","2.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","350","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","8","8","5","12","left","6","21","6","2.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","350","36","15","26","1","Acquisiton","15","26","2","36","33","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","8","8","5","12","left","7","21","6","2.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","choice","Experiment_block_start","orange.bmp","100","360","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","9","9","5","12","left","7","21","6","2.5"
"6.5.0","Reversal_Task","1","2021-09-27","14:39:07","fixation","Experiment_block_start","+","100","360","33","15","26","1","Acquisiton","15","26","1","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","9","9","6","12","left","8","21","6","3"
