"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.presentation_left.percentcorrect","trial.presentation_right.percentcorrect","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","rt","picture.Left.currentvalue","picture.Right.currentvalue","block_number","task_phase","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","numberoftimesleft","numberoftimesright","rightleftcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","presentation_left","Experiment_block_leftstart","lamb.bmp","100","100","33","376","36","120","376","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","1","1","0","6","1","0","left","0","20","0","0"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","fixation","Experiment_block_leftstart","+","100","100","33","376","36","120","376","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","1","1","1","6","1","0","left","1","20","0.5","0.5"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","presentation_left","Experiment_block_leftstart","lamb.bmp","100","100","33","379","36","120","379","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","2","2","1","6","2","0","left","1","20","0.5","0.5"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","fixation","Experiment_block_leftstart","+","100","100","33","379","36","120","379","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","2","2","2","6","2","0","left","2","20","1","1"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","presentation_left","Experiment_block_leftstart","lamb.bmp","100","100","33","96","36","120","96","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRIF","0","1","-1","3","3","2","6","3","0","left","2","20","1","1"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","fixation","Experiment_block_leftstart","+","100","100","33","96","36","120","96","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRIF","0","1","-1","3","3","2","6","3","0","left","3","20","1","1"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","presentation_left","Experiment_block_leftstart","lamb.bmp","100","100","33","119","36","120","119","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","4","4","2","6","4","0","left","3","20","1","1"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","fixation","Experiment_block_leftstart","+","100","100","33","119","36","120","119","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","4","4","3","6","4","0","left","4","20","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","presentation_left","Experiment_block_leftstart","lamb.bmp","100","100","33","101","36","120","101","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","5","5","3","6","5","0","left","4","20","1.5","1.5"
"6.4.2","Reversal_Task","1","2021-09-22","11:07:15","fixation","Experiment_block_leftstart","+","100","100","33","101","36","120","101","25","26","1","Acquisiton","25","26","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","5","5","4","6","5","0","left","5","20","2","2"
