"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","rt","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","rightleftcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","choice","Experiment_block_start","fan.bmp","100","429","33","429","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","6","left","0","22","3","0"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","fixation","Experiment_block_start","+","100","429","33","429","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","1","1","0","6","left","0","22","3","0"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","choice","Experiment_block_start","fan.bmp","100","222","36","222","6","7","1","Acquisiton","6","7","1","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","2","2","0","6","left","0","22","3","0"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","fixation","Experiment_block_start","+","100","222","36","222","6","7","1","Acquisiton","6","7","1","33","36","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","2","2","0","6","left","0","22","3","0"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","choice","Experiment_block_start","fan.bmp","100","1093","36","1093","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","3","0","6","left","0","22","3","0"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","fixation","Experiment_block_start","+","100","1093","36","1093","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","3","1","6","left","1","22","3","0.5"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","choice","Experiment_block_start","fan.bmp","100","256","36","256","6","7","1","Acquisiton","6","7","1","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","4","4","1","6","left","1","22","3","0.5"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","fixation","Experiment_block_start","+","100","256","36","256","6","7","1","Acquisiton","6","7","1","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","4","4","2","6","left","0","22","3","1"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","choice","Experiment_block_start","fan.bmp","100","166","36","166","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","5","5","2","6","left","0","22","3","1"
"6.4.2","Reversal_Task","1","2021-09-24","16:58:24","fixation","Experiment_block_start","+","100","166","36","166","6","7","1","Acquisiton","6","7","2","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","5","5","3","6","left","1","22","3","1.5"
