"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","rightleftcorrect","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","430","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","1","1","0","6","0","23","3","0"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","fixation","Experiment_block_start","+","100","430","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","1","1","1","6","0","23","3","0.5"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","336","36","2","31","1","Acquisiton","2","31","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","2","2","1","6","0","23","3","0.5"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","fixation","Experiment_block_start","+","100","336","36","2","31","1","Acquisiton","2","31","1","left","33","36","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","2","2","2","6","0","23","3","1"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","146","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","3","3","2","6","0","23","3","1"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","fixation","Experiment_block_start","+","100","146","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","3","3","3","6","0","23","3","1.5"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","499","33","2","31","1","Acquisiton","2","31","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","4","4","3","6","0","23","3","1.5"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","fixation","Experiment_block_start","+","100","499","33","2","31","1","Acquisiton","2","31","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","4","4","4","7","1","23","3.5","2"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","1415","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","5","5","4","7","1","23","3.5","2"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","fixation","Experiment_block_start","+","100","1415","33","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","5","5","4","7","0","23","3.5","2"
"6.4.2","Reversal_Task","1","2021-09-27","19:49:17","choice","Experiment_block_start","pen.bmp","100","253","36","2","31","1","Acquisiton","2","31","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","6","6","4","7","0","23","3.5","2"
