"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.presentation_left.percentcorrect","trial.presentation_right.percentcorrect","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","block_number","task_phase","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","totalcorrect","numberoftimesleft","numberoftimesright","rightleftcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","presentation_left","Experiment_block_leftstart","brush.bmp","100","100","33","789","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","1","7","0","","1","0","left","4","25","1","0"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","fixation","Experiment_block_leftstart","+","100","100","33","789","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","1","7","1","","1","0","left","5","25","1","0.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","presentation_left","Experiment_block_leftstart","brush.bmp","100","100","33","321","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","2","8","1","","2","0","left","5","25","1","0.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","fixation","Experiment_block_leftstart","+","100","100","33","321","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","2","8","2","","2","0","left","6","25","1","1"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","presentation_left","Experiment_block_leftstart","brush.bmp","100","100","33","268","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","3","9","2","","3","0","left","6","25","1","1"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","fixation","Experiment_block_leftstart","+","100","100","33","268","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","3","9","3","","3","0","left","7","25","1","1.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","presentation_left","Experiment_block_leftstart","brush.bmp","100","100","33","159","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRIF","0","1","-1","4","10","3","","4","0","left","7","25","1","1.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","fixation","Experiment_block_leftstart","+","100","100","33","159","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRIF","0","1","-1","4","10","3","","4","0","left","8","25","1","1.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","presentation_left","Experiment_block_leftstart","brush.bmp","100","100","33","171","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","5","11","3","","5","0","left","8","25","1","1.5"
"6.4.1","Reversal_Task","455","2021-08-30","17:28:43","fixation","Experiment_block_leftstart","+","100","100","33","171","36","312","11","39","1","Acquisiton","11","39","0.8000000000000000444","0.2000000000000000111","CRCF","0","1","1","5","11","4","","5","0","left","9","25","1","2"
